proto,ts,srcIP,srcPrt,dstIP,dstPrt,flowduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fipt,total_bipt,min_fipt,min_bipt,max_fipt,max_bipt,mean_fipt,mean_bipt,std_fipt,std_bipt,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowBytesPerSecond,mean_flowpktl,std_flowpktl,mean_flowipt,std_flowipt,flow_fin,flow_syn,flow_rst,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,label,Ataque
UDP,1746382234,5.39.20.184,51572,216.238.92.208,5060,0.780286,6,6,3642,3148,392,523,651,525,607,524.666687,105.329958,0.816497,0.779563,0.779779,0.154424,0.154312,0.158059,0.158117,0.155913,0.155956,0.00142,0.001476,0,0,0,0,3438,2944,7.689487,7.689487,8701.936523,565.833333,83.017883,0.071092,0.081214,0,0,0,0,0,0,0,0.86436,1,1
UDP,1746382257,5.39.20.184,64405,216.238.92.208,5060,0.776739,6,6,3625,3126,388,520,648,522,604.166687,521,105.902627,1.095445,0.776526,0.776362,0.152317,0.15222,0.158301,0.1583,0.155305,0.155272,0.002225,0.002263,0,0,0,0,3421,2922,7.724604,7.724604,8691.466797,562.583333,83.57518,0.070741,0.080976,0,0,0,0,0,0,0,0.862345,1,1
UDP,1746382282,5.39.20.184,61793,216.238.92.208,5060,0.782011,6,6,3634,3138,391,522,650,524,605.666687,523,105.167801,1.095445,0.781301,0.781593,0.155801,0.155857,0.156527,0.156729,0.15626,0.156319,0.000287,0.000334,0,0,0,0,3430,2934,7.672526,7.672526,8659.724609,564.333333,83.016243,0.071294,0.081349,0,0,0,0,0,0,0,0.863511,1,1
UDP,1746382307,5.39.20.184,58360,216.238.92.208,5060,0.796227,6,6,3638,3142,391,522,650,524,606.333313,523.666687,105.492497,0.816497,0.795786,0.795865,0.14597,0.146071,0.176218,0.176154,0.159157,0.159173,0.012093,0.012004,0,0,0,0,3434,2938,7.53554,7.53554,8515.160156,565,83.201836,0.07258,0.083243,0,0,0,0,0,0,0,0.863661,1,1
UDP,1746382332,5.39.20.184,55117,216.238.92.208,5060,0.789021,6,6,3630,3130,389,519,649,523,605,521.666687,105.820603,1.632993,0.788659,0.788615,0.153889,0.153984,0.163865,0.163867,0.157732,0.157723,0.003854,0.003813,0,0,0,0,3426,2926,7.60436,7.60436,8567.579102,563.333333,83.577217,0.071938,0.082177,0,0,0,0,0,0,0,0.862259,1,1
UDP,1746382357,5.39.20.184,52046,216.238.92.208,5060,0.782021,6,6,3638,3144,391,524,650,524,606.333313,524,105.492497,0,0.781491,0.781499,0.146408,0.1464,0.165651,0.165663,0.156298,0.1563,0.006843,0.006863,0,0,0,0,3434,2940,7.672428,7.672428,8672.400391,565.166667,83.109825,0.071303,0.081491,0,0,0,0,0,0,0,0.864211,1,1
UDP,1746382382,5.39.20.184,49205,216.238.92.208,5060,0.917843,6,6,3638,3142,391,522,650,524,606.333313,523.666687,105.494393,0.816497,0.917502,0.917217,0.154054,0.154007,0.200106,0.201355,0.1835,0.183443,0.022836,0.023408,0,0,0,0,3434,2938,6.537066,6.537066,7386.885254,565,83.202927,0.083817,0.096527,0,0,0,0,0,0,0,0.863661,1,1
UDP,1746382407,5.39.20.184,62915,216.238.92.208,5060,0.779711,6,6,3631,3134,390,521,649,523,605.166687,522.333313,105.412365,1.032796,0.779277,0.779222,0.153239,0.153249,0.157986,0.157965,0.155855,0.155844,0.001737,0.001705,0,0,0,0,3427,2930,7.695159,7.695159,8676.291992,563.75,83.201973,0.071113,0.081142,0,0,0,0,0,0,0,0.863123,1,1
UDP,1746382431,5.39.20.184,59543,216.238.92.208,5060,0.782074,6,6,3624,3124,389,520,648,522,604,520.666687,105.329958,1.032796,0.781625,0.781639,0.153798,0.153839,0.159251,0.159222,0.156325,0.156328,0.001945,0.001924,0,0,0,0,3420,2920,7.671908,7.671908,8628.339844,562.333333,83.290657,0.071316,0.081399,0,0,0,0,0,0,0,0.862031,1,1
UDP,1746382454,5.39.20.184,56249,216.238.92.208,5060,0.780842,6,6,3604,3118,387,517,644,521,600.666687,519.666687,104.676008,1.632993,0.780244,0.780472,0.155008,0.155003,0.157014,0.156997,0.156049,0.156094,0.000937,0.000973,0,0,0,0,3400,2914,7.684015,7.684015,8608.657227,560.166667,82.286453,0.07115,0.081286,0,0,0,0,0,0,0,0.86515,1,1
